,Item_Identifier,Outlet_Identifier,Unnamed 0
0,FDW58,OUT049,1641.7695879999999
1,FDW14,OUT017,1113.3241280000002
2,NCN55,OUT010,403.2817180000001
3,FDQ58,OUT017,2136.359118
4,FDY38,OUT027,4581.130111999999
5,FDH56,OUT046,1556.3940540000006
6,FDL48,OUT018,747.6401360000001
7,FDC48,OUT027,1449.0737519999996
8,FDN33,OUT045,1384.118304
9,FDA36,OUT017,2388.4243400000023
10,FDT44,OUT017,1515.6537520000002
11,FDQ56,OUT045,1035.6652159999999
12,NCC54,OUT019,453.3698519999998
13,FDU11,OUT049,1988.737942
14,DRL59,OUT013,747.899798
15,FDM24,OUT049,1875.1924099999994
16,FDI57,OUT045,3083.672673999999
17,DRC12,OUT018,2572.7577280000005
18,NCM42,OUT027,2509.8396279999997
19,FDA46,OUT010,392.18283200000025
20,FDA31,OUT013,2296.057906
21,NCJ31,OUT035,3087.461075999999
22,FDG52,OUT046,550.709812
23,NCL19,OUT019,304.496972
24,FDS10,OUT035,2592.278984
25,FDX22,OUT010,571.72246
26,NCF19,OUT035,570.9368159999996
27,NCE06,OUT046,1533.0977119999995
28,DRC27,OUT046,2721.437526
29,FDE21,OUT035,1351.7803979999994
30,NCR42,OUT019,74.38317599999999
31,FDX51,OUT018,2879.6848699999996
32,NCR06,OUT018,542.3873120000006
33,FDU31,OUT027,4074.5694980000017
34,FDU59,OUT017,1517.0652479999997
35,FDR03,OUT027,4535.263150000005
36,FDS49,OUT027,1635.3379599999998
37,FDD48,OUT010,221.09886399999994
38,NCF18,OUT017,2555.4202960000007
39,NCD43,OUT027,2089.3403219999996
40,NCD54,OUT018,1769.7962700000003
41,FDY19,OUT010,227.65033599999995
42,NCY54,OUT017,2293.9739520000003
43,NCL19,OUT018,1711.359004
44,FDP23,OUT010,456.34597799999995
45,FDC26,OUT013,1771.3209520000007
46,FDR14,OUT010,112.74657200000006
47,NCS41,OUT035,2801.273604
48,FDF41,OUT035,2635.316296000002
49,FDU34,OUT046,1867.9218740000006
50,DRH11,OUT046,771.1894819999999
51,FDM03,OUT013,1342.5390939999997
52,FDS31,OUT017,2492.295798000001
53,FDJ20,OUT017,1661.3640819999998
54,FDV44,OUT027,4341.974752
55,FDG02,OUT049,1871.7568820000006
56,FDA09,OUT013,2669.471836000001
57,FDT04,OUT013,618.934338
58,FDL58,OUT019,576.143372
59,FDE52,OUT045,1395.6033539999992
60,FDW12,OUT035,1844.9184840000005
61,FDL51,OUT017,2440.5498219999995
62,NCY42,OUT027,2780.5738819999992
63,FDR07,OUT017,1262.3568000000007
64,FDN40,OUT045,1994.557033999999
65,FDB35,OUT027,2571.0133320000014
66,FDA22,OUT017,1927.5109739999998
67,NCL06,OUT046,3049.3040779999988
68,FDI35,OUT013,3079.7844020000002
69,NCW42,OUT045,2770.273955999999
70,NCX06,OUT049,2750.140163999999
71,FDC37,OUT027,2595.8609879999995
72,FDZ14,OUT018,1129.942496000001
73,DRG49,OUT049,3302.7674800000004
74,NCG06,OUT045,2803.164476000001
75,DRC36,OUT045,1999.7769060000005
76,FDV21,OUT019,276.41352800000004
77,FDB53,OUT046,1685.659123999999
78,DRP47,OUT019,511.3543739999999
79,FDA14,OUT013,2286.483702
80,DRC24,OUT035,2130.952822
81,FDW21,OUT018,1425.7973839999995
82,NCH29,OUT046,1446.277391999999
83,FDU58,OUT013,2521.078332000001
84,FDY27,OUT017,2777.8907079999994
85,FDV56,OUT035,1484.4010999999996
86,FDT59,OUT046,3025.381884000001
87,FDB23,OUT046,3760.438400000002
88,FDR49,OUT045,662.557554
89,FDB03,OUT010,510.6752580000001
90,FDN39,OUT045,2002.7863219999986
91,FDX02,OUT027,4235.85289
92,FDQ16,OUT027,2930.418829999999
93,FDU35,OUT018,1373.7917459999992
94,NCT29,OUT013,2087.109892000001
95,FDZ27,OUT046,748.3658579999997
96,FDN57,OUT017,1844.479056
97,FDA03,OUT018,1490.6196719999996
98,FDZ36,OUT045,2339.707754
99,NCU05,OUT013,633.861574
100,FDT39,OUT018,1732.5913659999987
101,FDK60,OUT017,1108.5503419999998
102,FDZ25,OUT017,2433.4390779999985
103,FDG12,OUT046,1826.715511999999
104,DRB01,OUT019,472.1587280000003
105,NCC43,OUT027,4789.7652
106,FDX13,OUT019,622.3166019999995
107,FDM22,OUT049,830.9383739999997
108,FDJ03,OUT027,1110.1216300000006
109,FDU14,OUT018,2751.1521800000005
110,FDB33,OUT010,246.44586999999999
111,FDP27,OUT046,2290.498476
112,FDO38,OUT010,156.63610799999998
113,FDE28,OUT027,4440.25349
114,FDO27,OUT035,1516.3528419999984
115,DRL23,OUT027,2598.470924
116,FDS28,OUT046,902.4120040000003
117,FDX24,OUT013,1131.5936799999995
118,FDZ02,OUT035,1485.0935319999999
119,FDL46,OUT045,1411.0632299999995
120,FDS60,OUT027,4057.6981259999975
121,NCO06,OUT017,486.0939220000001
122,FDO16,OUT035,1080.633348
123,FDC60,OUT049,1168.159416
124,FDA48,OUT018,2369.8884680000006
125,FDZ36,OUT027,4903.137624
126,FDK27,OUT045,1555.54183
127,FDW23,OUT018,556.4223760000001
128,FDM14,OUT018,1320.5210880000002
129,FDM14,OUT013,1825.9098939999994
130,FDW60,OUT018,2465.3575299999998
131,FDE21,OUT013,1327.2856159999997
132,NCM42,OUT035,1692.0974099999994
133,FDY59,OUT010,167.52193800000003
134,DRI49,OUT049,1071.3054899999997
135,FDT28,OUT019,251.16639200000006
136,FDQ22,OUT018,356.05652399999997
137,FDR60,OUT049,880.2941279999999
138,FDC50,OUT019,248.14366000000007
139,FDV24,OUT013,2015.256755999999
140,DRF48,OUT010,543.3793540000004
141,FDQ47,OUT046,707.2061019999995
142,DRN36,OUT049,1311.013464
143,NCY06,OUT035,1779.9097719999997
144,FDE52,OUT035,1331.9395579999991
145,NCB54,OUT045,1377.3005119999998
146,NCF31,OUT035,1881.8504099999998
147,FDJ08,OUT027,4136.409001999999
148,NCC07,OUT017,1454.8129480000002
149,NCD19,OUT027,1434.9055280000011
150,FDL46,OUT049,1733.463564
151,FDM20,OUT045,2728.98104
152,NCI06,OUT010,303.50492999999994
153,DRM11,OUT035,4313.565065999998
154,NCH07,OUT018,1546.5801620000004
155,FDS23,OUT013,2220.6427400000002
156,FDO49,OUT018,358.7330399999999
157,FDS35,OUT049,889.6552759999997
158,DRK39,OUT045,1011.5366240000003
159,DRI39,OUT049,841.3980919999999
160,FDV04,OUT017,1957.4919480000005
161,NCN14,OUT035,2608.3713700000003
162,FDH08,OUT013,2193.6512080000007
163,FDS20,OUT046,2231.2489340000006
164,FDV40,OUT049,1141.2610959999993
165,FDZ48,OUT010,229.65439399999997
166,FDS24,OUT027,1996.0550840000008
167,FDK44,OUT049,2511.8703179999993
168,FDS48,OUT045,2114.4809299999993
169,FDK26,OUT010,430.06019400000025
170,FDD23,OUT045,2351.412518000001
171,NCH54,OUT017,1671.7572199999997
172,NCP14,OUT010,248.40997999999985
173,FDM60,OUT010,90.16929400000002
174,FDV24,OUT017,2160.3345759999993
175,FDH08,OUT018,3046.794011999998
176,FDS12,OUT027,2745.759200000001
177,FDR39,OUT027,3757.415668000002
178,FDP12,OUT027,1034.6731740000002
179,DRF60,OUT027,5219.951896000001
180,FDC09,OUT035,1278.8553240000003
181,FDF50,OUT018,2665.683434
182,FDG28,OUT035,2925.6650179999992
183,NCE19,OUT017,663.6494660000001
184,NCM53,OUT010,267.744812
185,NCN18,OUT049,1485.7726480000003
186,FDF32,OUT035,2798.517192
187,FDF11,OUT013,3053.0325579999985
188,DRI59,OUT049,2752.7567580000004
189,NCG54,OUT035,1939.029314
190,FDM44,OUT046,1360.4890619999999
191,FDT57,OUT018,2927.1963580000006
192,FDV24,OUT046,2213.75171
193,FDI50,OUT019,519.7301380000001
194,FDS09,OUT035,713.1849860000001
195,NCC31,OUT027,3027.0996479999994
196,FDQ07,OUT019,464.00933599999985
197,FDC22,OUT017,2386.247174
198,FDZ56,OUT046,2103.2155939999993
199,FDZ40,OUT019,113.88509
200,FDS46,OUT027,2735.412668
201,DRD24,OUT045,2004.5107440000002
202,FDV45,OUT017,3247.499421999999
203,FDL26,OUT045,2021.7815960000007
204,FDA56,OUT018,938.4650740000001
205,FDN27,OUT046,1433.60056
206,FDM20,OUT049,2810.27522
207,FDO16,OUT017,940.6821880000003
208,FDL03,OUT035,2814.0036999999998
209,FDE58,OUT046,1379.4310719999996
210,FDI02,OUT027,2531.0919639999997
211,NCC55,OUT019,79.38333399999999
212,FDR03,OUT018,1996.9139660000003
213,FDB14,OUT017,1302.7642020000003
214,FDR45,OUT013,2921.6835340000002
215,NCN07,OUT017,1325.1483979999998
216,FDM51,OUT019,196.87706000000009
217,FDT52,OUT027,3924.7045759999996
218,FDL26,OUT046,2015.4498380000005
219,NCZ42,OUT046,4144.0390700000025
220,DRI47,OUT019,263.39713800000004
221,FDW40,OUT013,1660.9912340000003
222,FDN34,OUT046,1872.7489239999989
223,FDS01,OUT035,2646.5882900000015
224,NCG55,OUT045,1381.9744280000011
225,FDC11,OUT035,1353.8643520000007
226,FDX35,OUT018,2603.3046320000008
227,NCB06,OUT046,1948.829890000001
228,FDR09,OUT019,531.8610140000002
229,FDC53,OUT017,1466.7707160000002
230,FDY45,OUT013,3343.4079119999997
231,FDA22,OUT010,273.07121200000006
232,FDE02,OUT035,1333.1912619999996
233,FDW21,OUT045,1648.7405139999996
234,FDV34,OUT046,967.9000919999997
235,FDS59,OUT049,1341.6935279999996
236,NCW17,OUT017,1621.6890599999997
